residence_time,temperature,dppa,isoporopanol,yields
10.0,120.0,2.0,1.5,60.717856453848896
10.0,130.0,2.0,1.5,62.6806284622884
10.0,140.0,2.0,1.5,65.27110034218015
10.0,150.0,1.75,1.5,64.65280084731128
10.0,150.0,2.25,1.5,56.85734211205923
10.0,150.0,2.0,1.25,59.64148879075026
10.0,150.0,2.0,1.75,61.67009684041557
10.0,140.0,1.5,1.75,66.99479356702872
10.0,150.0,1.25,2.5,68.58693332598638
10.0,150.0,1.0,1.5,70.44070367934249
15.0,150.0,1.0,2.0,65.28031986498439
5.0,150.0,1.0,1.75,73.47146314640305
2.0,150.0,1.0,1.0,67.55490955926052
2.0,150.0,1.0,2.5,73.16708843960174
4.0,150.0,1.0,2.0,74.24619052909296
2.0,140.0,1.0,2.25,70.26509499063306
2.0,80.0,3.0,2.75,25.954545454545453
2.0,130.0,3.0,3.0,56.51217741957397
15.0,30.0,1.0,1.0,30.0
2.0,150.0,1.25,2.0,35.09090909090909
15.0,140.0,1.5,3.0,58.695671860052656
5.0,150.0,1.0,3.0,72.84702367334815
15.0,150.0,1.25,1.0,59.45311599759766
10.0,120.0,1.0,3.0,65.39988508805645
10.0,150.0,2.75,3.0,52.785114478330044
10.0,150.0,1.0,3.0,66.47184219676107
10.0,120.0,1.75,3.0,62.31635972234379
2.0,150.0,2.5,3.0,62.66640646515175
4.0,140.0,2.0,3.0,69.55786247792386
2.0,120.0,2.25,3.0,55.478993884707734
10.0,130.0,1.1,1.0,66.95425865899594
2.0,150.0,2.75,1.0,52.58717535864665
2.0,150.0,2.0,1.0,60.07342812391297
5.0,140.0,1.75,3.0,67.22996350921682
2.0,90.0,1.0,3.0,40.54545454545455
