temperature,pumpA,pumpB,scores
120,650,950,68.72618389
130,50,900,15.99883385
130,1000,1000,80.5502576
140,1000,50,7.212400603
140,50,350,24.02141296
55,1000,1000,17.72727273
140,50,1000,15.43353386
140,1000,650,65.22372955
140,1000,600,61.42131842
85,1000,1000,25.49878435
140,1000,100,10.42839527
140,800,1000,76.13469523
135,1000,1000,81.14499116
140,1000,1000,84.91244888
140,950,1000,84.3355268
140,1000,950,91.16084189
140,1000,900,90.94569578
140,1000,850,88.39009556
135,1000,900,86.68833098
