temperature,ResidenceTime,eqEster,eqAmmonia,peakArea
135.0,6.0,5.0,16.0,23.356426508739823
30.0,10.0,2.0,16.0,17.063676719991573
30.0,4.0,5.0,8.0,14.027777777777779
140.0,3.0,2.5,5.0,13.680555555555555
110.0,17.0,3.0,4.0,22.91958682186954
130.0,7.0,2.0,14.0,16.868294595097424
35.0,10.0,4.5,5.0,14.008838383838384
55.0,13.0,4.5,8.0,23.428248662585514
105.0,18.0,2.0,8.0,24.479116811804264
65.0,20.0,4.5,4.0,21.094178064164037
140.0,20.0,6.0,16.0,21.585875291090773
140.0,20.0,2.0,16.0,11.486933781550487
140.0,20.0,6.0,4.0,27.583176050430772
135.0,20.0,6.0,4.0,30.789924923912345
140.0,20.0,6.0,5.0,20.98764761900295
